mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bootstrap,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,mean_test_score,std_test_score,rank_test_score
1395.5531295537949,23.72259223461151,94.96083521842957,94.96083521842957,False,30,log2,1,2,200,"{'bootstrap': False, 'max_depth': 30, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",,-6.404739172780106,,,11
1628.0340765714645,532.3483465909958,142.94247364997864,142.94247364997864,False,30,log2,1,2,300,"{'bootstrap': False, 'max_depth': 30, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 300}",,-6.396169757404645,,,11
2028.802125453949,985.5779490470886,248.98281633853912,248.98281633853912,False,30,log2,1,2,400,"{'bootstrap': False, 'max_depth': 30, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 400}",,-6.390126513792438,,,11
1399.782163143158,8.763591527938843,188.6966676712036,13.212939023971558,False,30,log2,1,3,200,"{'bootstrap': False, 'max_depth': 30, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 3, 'n_estimators': 200}",-6.373181528784873,-6.398575818238558,-6.385878673511716,0.012697144726842247,9
1059.9595588445663,34.72477066516876,0.0,0.0,False,30,log2,1,3,300,"{'bootstrap': False, 'max_depth': 30, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 3, 'n_estimators': 300}",,,,,11
1047.4124799966812,278.1315392255783,0.0,0.0,False,30,log2,1,3,400,"{'bootstrap': False, 'max_depth': 30, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 3, 'n_estimators': 400}",,,,,11
1443.6393030881882,48.22729790210724,114.60935139656067,14.794903039932251,False,30,log2,2,2,200,"{'bootstrap': False, 'max_depth': 30, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 200}",-6.367914537229916,-6.405487672481571,-6.386701104855744,0.0187865676258272,10
1752.3971960544586,10.872948408126831,212.35335326194763,0.5495376586914062,False,30,log2,2,2,300,"{'bootstrap': False, 'max_depth': 30, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 300}",-6.365694899546351,-6.39817400240421,-6.3819344509752804,0.016239551428929744,7
2135.8100955486298,34.09991002082825,231.15465247631073,23.88880980014801,False,30,log2,2,2,400,"{'bootstrap': False, 'max_depth': 30, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 400}",-6.362378065383266,-6.39234622154685,-6.377362143465058,0.014984078081792251,5
1023.372040271759,39.00852966308594,62.37357783317566,62.37357783317566,False,30,log2,2,3,200,"{'bootstrap': False, 'max_depth': 30, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 3, 'n_estimators': 200}",-6.367914537229916,,,,11
